<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHDG.US,D,20241023,000000,30.3303,30.3303,30.22,30.2453,2472,0
DHDG.US,D,20241024,000000,30.32,30.32,30.307,30.307,165,0
DHDG.US,D,20241025,000000,30.41,30.41,30.3,30.32,2580,0
DHDG.US,D,20241028,000000,30.38,30.41,30.3454,30.3454,7916,0
DHDG.US,D,20241029,000000,30.2859,30.39,30.2859,30.3705,6478,0
DHDG.US,D,20241030,000000,30.35,30.41,30.3125,30.3125,36800,0
DHDG.US,D,20241031,000000,30.2,30.2,30.05,30.05,24869,0
DHDG.US,D,20241101,000000,30.16,30.429,30.11,30.12,12405,0
DHDG.US,D,20241104,000000,30.13,30.13,30.05,30.055,193757,0
DHDG.US,D,20241105,000000,30.23,30.23,30.19,30.2169,284014,0
DHDG.US,D,20241106,000000,30.63,30.66,30.62,30.62,9526,0
DHDG.US,D,20241107,000000,30.74,30.78,30.72,30.7348,28574,0
DHDG.US,D,20241108,000000,30.81,31.13,30.81,30.84,80764,0
DHDG.US,D,20241111,000000,30.84,30.84,30.83,30.84,583,0
DHDG.US,D,20241112,000000,30.8,30.84,30.735,30.8009,3627,0
DHDG.US,D,20241113,000000,30.81,30.87,30.7901,30.8055,13453,0
DHDG.US,D,20241114,000000,30.8292,30.8299,30.7249,30.7249,1482,0
DHDG.US,D,20241115,000000,30.68,30.68,30.515,30.515,740,0
DHDG.US,D,20241118,000000,30.5,30.6,30.5,30.5752,1567,0
DHDG.US,D,20241119,000000,30.59,30.67,30.58,30.6394,3022,0
DHDG.US,D,20241120,000000,30.56,30.6441,30.52,30.6441,5569,0
DHDG.US,D,20241121,000000,30.68,30.7447,30.66,30.7447,596,0
DHDG.US,D,20241122,000000,30.77,30.82,30.7601,30.8137,882,0
DHDG.US,D,20241125,000000,30.93,30.94,30.8408,30.9,1481,0
DHDG.US,D,20241126,000000,30.959,30.9698,30.959,30.9698,902,0
DHDG.US,D,20241127,000000,30.909,30.94,30.88,30.9151,5218,0
DHDG.US,D,20241202,000000,31.05,31.0799,31.05,31.055,3813,0
DHDG.US,D,20241203,000000,31.09,31.09,31.072,31.072,1916,0
DHDG.US,D,20241204,000000,31.15,31.16,31.15,31.1549,1265,0
DHDG.US,D,20241205,000000,31.17,31.18,31.1457,31.1457,616,0
DHDG.US,D,20241206,000000,31.17,31.2,31.1597,31.184,3700,0
DHDG.US,D,20241210,000000,31.15,31.15,31.0554,31.0554,169,0
DHDG.US,D,20241211,000000,31.18,31.25,31.171,31.221,1855,0
DHDG.US,D,20241212,000000,31.2,31.2,31.1348,31.1348,4932,0
DHDG.US,D,20241213,000000,31.21,31.21,31.12,31.1382,1883,0
DHDG.US,D,20241216,000000,31.22,31.24,31.1988,31.1988,235,0
DHDG.US,D,20241217,000000,31.15,31.18,31.1,31.1441,7038,0
DHDG.US,D,20241218,000000,31.18,31.19,30.58,30.6,74040,0
DHDG.US,D,20241219,000000,30.77,30.77,30.5822,30.5822,962,0
DHDG.US,D,20241220,000000,30.86,30.9,30.7673,30.7673,228,0
DHDG.US,D,20241223,000000,30.74,30.9192,30.74,30.9192,1923,0
DHDG.US,D,20241224,000000,31.08,31.1266,31.08,31.1266,1000,0
DHDG.US,D,20241226,000000,31.15,31.16,31.1357,31.1357,1159,0
DHDG.US,D,20241230,000000,30.74,30.74,30.6704,30.6704,120676,0
DHDG.US,D,20241231,000000,30.6679,30.6679,30.51,30.5209,1204,0
DHDG.US,D,20250102,000000,30.6,30.6,30.36,30.4548,5906,0
DHDG.US,D,20250103,000000,30.55,30.76,30.55,30.7548,2838,0
DHDG.US,D,20250106,000000,30.9099,30.9099,30.8957,30.8957,308,0
DHDG.US,D,20250107,000000,30.85,30.85,30.6098,30.6098,1794,0
DHDG.US,D,20250108,000000,30.57,30.6429,30.57,30.6429,6147,0
DHDG.US,D,20250110,000000,30.33,30.33,30.2458,30.2458,820,0
DHDG.US,D,20250113,000000,30.11,30.2549,30.11,30.2549,485,0
DHDG.US,D,20250114,000000,30.3199,30.3199,30.187,30.2575,2229,0
DHDG.US,D,20250115,000000,30.72,30.82,30.72,30.7902,2520,0
DHDG.US,D,20250116,000000,30.77,30.8042,30.74,30.74,1382,0
DHDG.US,D,20250117,000000,31.08,31.11,31.0179,31.0179,7236,0
DHDG.US,D,20250121,000000,31.1048,31.1899,31.1048,31.1561,12110,0
DHDG.US,D,20250122,000000,31.25,31.2799,31.25,31.2529,2035,0
DHDG.US,D,20250123,000000,31.29,31.296,31.29,31.296,1477,0
DHDG.US,D,20250124,000000,31.29,31.31,31.2861,31.2861,4346,0
DHDG.US,D,20250127,000000,31.07,31.07,31.05,31.0663,243,0
DHDG.US,D,20250128,000000,31.2,31.2228,31.1601,31.2228,972,0
DHDG.US,D,20250129,000000,31.2,31.2,31.1589,31.1589,1087,0
DHDG.US,D,20250130,000000,31.16,31.2904,31.16,31.2904,7136,0
DHDG.US,D,20250131,000000,31.32,31.36,31.173,31.173,2935,0
DHDG.US,D,20250203,000000,31.05,31.14,31.05,31.1,2501,0
DHDG.US,D,20250204,000000,31.17,31.2,31.135,31.1783,1907,0
DHDG.US,D,20250206,000000,31.31,31.31,31.21,31.2947,7163,0
DHDG.US,D,20250210,000000,31.3,31.3,31.2737,31.282,2765,0
DHDG.US,D,20250211,000000,31.25,31.3,31.25,31.2839,2023,0
DHDG.US,D,20250212,000000,31.26,31.26,31.2479,31.2479,3755,0
DHDG.US,D,20250213,000000,31.36,31.47,31.3137,31.402,3765,0
DHDG.US,D,20250214,000000,31.45,31.45,31.43,31.4341,388202,0
DHDG.US,D,20250218,000000,31.405,31.4599,31.4,31.4156,3426,0
DHDG.US,D,20250219,000000,31.44,31.52,31.4358,31.4975,6710,0
DHDG.US,D,20250220,000000,31.371,31.4358,31.37,31.4358,4882,0
DHDG.US,D,20250221,000000,31.4,31.4,31.15,31.2293,8772,0
