<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACLO.US,D,20241120,000000,50.01,50.0351,50.01,50.0351,100100,0
ACLO.US,D,20241122,000000,50.12,50.12,50.095,50.095,60610,0
ACLO.US,D,20241125,000000,50.0699,50.085,50.0699,50.085,1001,0
ACLO.US,D,20241126,000000,50.12,50.16,50.1194,50.1194,600,0
ACLO.US,D,20241127,000000,50.11,50.16,50.1,50.13,13400,0
ACLO.US,D,20241129,000000,50.18,50.18,50.1445,50.1445,804,0
ACLO.US,D,20241203,000000,50.15,50.2886,50.15,50.2886,60900,0
ACLO.US,D,20241204,000000,50.15,50.16,50.1275,50.1275,503,0
ACLO.US,D,20241206,000000,50.15,50.164,50.15,50.164,6704,0
ACLO.US,D,20241213,000000,50.2108,50.2108,50.205,50.205,159,0
ACLO.US,D,20241219,000000,49.98,49.99,49.9741,49.99,40390,0
ACLO.US,D,20241224,000000,50.05,50.0798,50.0499,50.0798,999,0
ACLO.US,D,20250102,000000,50.0948,50.1151,50.0948,50.1151,192,0
ACLO.US,D,20250110,000000,50.19,50.1951,50.19,50.1951,1399,0
ACLO.US,D,20250114,000000,50.2486,50.2486,50.2206,50.225,60242,0
ACLO.US,D,20250122,000000,50.32,50.36,50.32,50.36,80804,0
ACLO.US,D,20250128,000000,50.39,50.39,50.385,50.385,81886,0
ACLO.US,D,20250203,000000,50.24,50.25,50.24,50.2401,98048,0
ACLO.US,D,20250206,000000,50.27,50.31,50.27,50.3075,745100,0
ACLO.US,D,20250207,000000,50.31,50.34,50.31,50.3191,20940,0
ACLO.US,D,20250213,000000,50.31,50.31,50.31,50.31,156,0
ACLO.US,D,20250221,000000,50.32,50.32,50.32,50.32,303,0
